mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.1019895871480305,0.002943742229406485,0.005666573842366536,0.0012553082768620672,0.018437259484133415,3,1,5,59,"OrderedDict([('learning_rate', 0.018437259484133415), ('max_depth', 3), ('min_samples_leaf', 1), ('min_samples_split', 5), ('n_estimators', 59)])",-2957.294166458766,-3252.504696866693,-2901.102520985585,-3036.9671281036813,154.1248582944974,48
11.187429904937744,0.01235906273683185,0.021667321523030598,0.0004704158408268909,0.01596202593826532,8,2,4,184,"OrderedDict([('learning_rate', 0.01596202593826532), ('max_depth', 8), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 184)])",-2421.516741620075,-2709.5962196094088,-2474.1363293747386,-2535.0830968680743,125.25528002328355,37
3.915980577468872,0.0023555042279210948,0.00866842269897461,0.0004732250653287291,0.03342224862869176,6,4,4,95,"OrderedDict([('learning_rate', 0.03342224862869176), ('max_depth', 6), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 95)])",-2326.9327063639093,-2653.0055748521595,-2360.6232669868537,-2446.853849400974,146.41872352639362,30
18.868736187616985,0.09262022008131822,0.028808434804280598,0.0009902137238820006,0.03448865018865252,9,4,3,324,"OrderedDict([('learning_rate', 0.03448865018865252), ('max_depth', 9), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 324)])",-2476.9015602844192,-2737.369540298352,-2527.4782204725516,-2580.583107018441,112.77112184841022,42
2.3411128520965576,0.006184175236678477,0.005668322245279948,0.00047097779783382784,0.10430798616546307,4,3,5,99,"OrderedDict([('learning_rate', 0.10430798616546307), ('max_depth', 4), ('min_samples_leaf', 3), ('min_samples_split', 5), ('n_estimators', 99)])",-2367.5796652064328,-2702.9513671611517,-2312.2284954157553,-2460.9198425944464,172.62750295045066,34
7.6860279242197675,0.05493762196912729,0.015673160552978516,0.0004700429794878909,0.008033135376728236,9,1,4,106,"OrderedDict([('learning_rate', 0.008033135376728236), ('max_depth', 9), ('min_samples_leaf', 1), ('min_samples_split', 4), ('n_estimators', 106)])",-3243.616267804901,-3502.6148135892595,-3245.2028266599323,-3330.477969351364,121.72085318571119,49
10.135565042495728,0.037973977622658105,0.018565575281778973,0.0004042776952158928,0.02772118612491809,9,3,2,151,"OrderedDict([('learning_rate', 0.02772118612491809), ('max_depth', 9), ('min_samples_leaf', 3), ('min_samples_split', 2), ('n_estimators', 151)])",-2460.195398333162,-2709.0037386288864,-2547.861351843117,-2572.3534962683884,103.04140398917167,41
5.47788667678833,0.028145756908519493,0.013738234837849935,0.0005221993313453155,0.0070567048833986784,3,4,4,300,"OrderedDict([('learning_rate', 0.0070567048833986784), ('max_depth', 3), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 300)])",-2447.5995521341442,-2772.3581636042127,-2373.386573067358,-2531.1147629352386,173.25448592603178,36
14.291823863983154,0.024094478022476478,0.022978464762369793,3.017185836372051e-05,0.04541552238519936,9,3,4,240,"OrderedDict([('learning_rate', 0.04541552238519936), ('max_depth', 9), ('min_samples_leaf', 3), ('min_samples_split', 4), ('n_estimators', 240)])",-2509.428998661039,-2762.6540744019403,-2543.546562396625,-2605.2098784865343,112.19776634556025,44
10.520243326822916,0.043612603178690264,0.01683632532755534,0.00023158290407252865,0.0595868806782271,9,2,3,175,"OrderedDict([('learning_rate', 0.0595868806782271), ('max_depth', 9), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 175)])",-2462.4241568605644,-2806.2089467207297,-2560.792618150816,-2609.808573910703,144.5658290055455,45
3.348355293273926,0.008993968586202671,0.0086669921875,0.0004717076892080888,0.034385198575257486,6,4,4,80,"OrderedDict([('learning_rate', 0.034385198575257486), ('max_depth', 6), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 80)])",-2343.4509309659506,-2658.416520245501,-2355.508415008339,-2452.4586220732635,145.71739222436108,31
0.9137487411499023,0.0014147854242063977,0.004004240036010742,5.227115520606152e-06,0.040309108084321,3,3,2,50,"OrderedDict([('learning_rate', 0.040309108084321), ('max_depth', 3), ('min_samples_leaf', 3), ('min_samples_split', 2), ('n_estimators', 50)])",-2464.289972828084,-2782.7773854492725,-2384.730095417822,-2543.9324845650594,171.9837366965766,38
3.029441515604655,0.0370413023128494,0.0056650638580322266,0.00047188343397353775,0.1529037800666895,5,3,5,99,"OrderedDict([('learning_rate', 0.1529037800666895), ('max_depth', 5), ('min_samples_leaf', 3), ('min_samples_split', 5), ('n_estimators', 99)])",-2443.6085255409016,-2738.297477935434,-2464.7365972124985,-2548.880866896278,134.21522083655842,39
1.54621156056722,0.015757826122670147,0.003663221995035807,0.000469645239272058,0.17068621685736426,5,4,5,50,"OrderedDict([('learning_rate', 0.17068621685736426), ('max_depth', 5), ('min_samples_leaf', 4), ('min_samples_split', 5), ('n_estimators', 50)])",-2358.251178868161,-2728.027338796012,-2401.7437595376,-2496.0074257339243,165.02086976364728,35
1.4604743321736653,0.003861925419744657,0.004001537958780925,7.867411722033553e-07,0.060276742252253705,3,3,5,82,"OrderedDict([('learning_rate', 0.060276742252253705), ('max_depth', 3), ('min_samples_leaf', 3), ('min_samples_split', 5), ('n_estimators', 82)])",-2342.2003696459324,-2666.0843847945853,-2285.10450786243,-2431.1297541009826,167.76519945343375,25
